08/04 11:33:51 PM | 
08/05 03:48:18 PM | DATASET=cifar100
08/05 03:48:18 PM | DROP_PATH_PROB=0.2
08/05 03:48:18 PM | EPOCHS=600
08/05 03:48:18 PM | GENOTYPE=Genotype(normal=[[('max_pool_3x3', 0), ('max_pool_3x3', 1)], [('max_pool_3x3', 0), ('max_pool_3x3', 2)], [('max_pool_3x3', 0), ('skip_connect', 3)], [('skip_connect', 4), ('max_pool_3x3', 0)]], normal_concat=range(2, 6), reduce=[[('max_pool_3x3', 0), ('sep_conv_5x5', 1)], [('dil_conv_3x3', 0), ('max_pool_3x3', 2)], [('max_pool_3x3', 3), ('dil_conv_5x5', 0)], [('max_pool_3x3', 0), ('max_pool_3x3', 3)]], reduce_concat=range(2, 6))
08/05 03:48:18 PM | GPUS=[0]
08/05 03:48:18 PM | GRAD_CLIP=5.0
08/05 03:48:18 PM | INIT_CHANNELS=36
08/05 03:48:18 PM | LAYERS=20
08/05 03:48:18 PM | LR=0.025
08/05 03:48:18 PM | MOMENTUM=0.9
08/05 03:48:18 PM | NAME=cifar100-ignoring-sigmoid
08/05 03:48:18 PM | PATH=augments/cifar100-ignoring-sigmoid
08/05 03:48:18 PM | PRINT_FREQ=200
08/05 03:48:18 PM | SEED=2
08/05 03:48:18 PM | WEIGHT_DECAY=0.0003
08/05 03:48:18 PM | WORKERS=4
08/05 03:48:18 PM | 
08/05 03:48:18 PM | Logger is set - training start
08/05 03:48:23 PM | Model size = 2.014 MB
08/05 03:48:23 PM | Epoch 0 LR 0.024999828653092835
08/05 03:48:24 PM | Train: [  1/600] Step 000/260 Loss 7.183 Prec@(1,5) (0.0%, 5.2%)
08/05 03:49:04 PM | 
08/05 03:49:04 PM | Parameters:
08/05 03:49:04 PM | AUX_WEIGHT=0.4
08/05 03:49:04 PM | BATCH_SIZE=96
08/05 03:49:04 PM | CUTOUT_LENGTH=16
08/05 03:49:04 PM | DATA_PATH=./data/
08/05 03:49:04 PM | DATASET=cifar100
08/05 03:49:04 PM | DROP_PATH_PROB=0.2
08/05 03:49:04 PM | EPOCHS=600
08/05 03:49:04 PM | GENOTYPE=Genotype(normal=[[('max_pool_3x3', 0), ('max_pool_3x3', 1)], [('max_pool_3x3', 0), ('max_pool_3x3', 2)], [('max_pool_3x3', 0), ('skip_connect', 3)], [('skip_connect', 4), ('max_pool_3x3', 0)]], normal_concat=range(2, 6), reduce=[[('max_pool_3x3', 0), ('sep_conv_5x5', 1)], [('dil_conv_3x3', 0), ('max_pool_3x3', 2)], [('max_pool_3x3', 3), ('dil_conv_5x5', 0)], [('max_pool_3x3', 0), ('max_pool_3x3', 3)]], reduce_concat=range(2, 6))
08/05 03:49:04 PM | GPUS=[0]
08/05 03:49:04 PM | GRAD_CLIP=5.0
08/05 03:49:04 PM | INIT_CHANNELS=36
08/05 03:49:04 PM | LAYERS=20
08/05 03:49:04 PM | LR=0.025
08/05 03:49:04 PM | MOMENTUM=0.9
08/05 03:49:04 PM | NAME=cifar100-ignoring-sigmoid
08/05 03:49:04 PM | PATH=augments/cifar100-ignoring-sigmoid
08/05 03:49:04 PM | PRINT_FREQ=200
08/05 03:49:04 PM | SEED=2
08/05 03:49:04 PM | WEIGHT_DECAY=0.0003
08/05 03:49:04 PM | WORKERS=4
08/05 03:49:04 PM | 
08/05 03:49:04 PM | Logger is set - training start
08/05 03:49:09 PM | Model size = 2.014 MB
